ID,Name,LongLat
734,Tanner Drive (north side of Bath),"44.2371, -76.55985"
806,Centennial Drive (south side of Bath),"44.23754, -76.54741"
9211,324 Palace Road (west side),"44.23395, -76.5139"
352,Alfred Street (south side of Johnson),"44.23158, -76.49723"
284,York Street (east side of Division),"44.23795, -76.49406"
9229,Kirkpatrick Street (east side of Division),"44.25379, -76.49664"
2080,Innovation Drive at Highway 15 (north side),"44.2722, -76.44609"
2010,Barriefield (west side of Highway 15),"44.24126, -76.45923"
2039,Downtown Transfer Point Platform 4,"44.23138, -76.48441"
9201,Union Street (west side of University),"44.22833, -76.49566"
426,Kingston General Hospital (south side of Stuart),"44.22427, -76.49475"
126,Highway 2 at Royal Military College (south side),"44.2369, -76.46556"
9225,Barrett Court (east side of Highway 15),"44.25047, -76.46063"
9226,Grenadier Drive (east side of Highway 15),"44.25377, -76.46044"
9205,Rideau Town Centre (south side of Gore),"44.25949, -76.45612"
9206,Dalgleish Avenue (east side of Rose Abbey),"44.26129, -76.4494"
9221,McCallum Street (east side of Rose Abbey),"44.26374, -76.44681"
150,Joyce Street (north side of Guthrie),"44.27481, -76.47791"
154,Sutherland Drive (west side of Virginia),"44.26844, -76.48764"
161,Guthrie Drive (south side of Sutherland),"44.2685, -76.48488"
2017,300 Conacher Drive (north side),"44.26633, -76.49475"
217,Rigney Street (north side of John Counter),"44.25953, -76.5036"
73,Rockford Place (south side of Elliott),"44.25609, -76.50114"
235,Barbara Avenue (west side of Division),"44.25027, -76.49635"
299,Earl Street (west side of Bagot),"44.2287, -76.48647"
317,George Street (north side of Stuart),"44.2248, -76.49198"
440,Willingdon Avenue (north side of Union),"44.22547, -76.50693"
441,Pembroke Street (north side of Union),"44.22445, -76.51013"
461,Cartwright Street (south side of Churchill),"44.22245, -76.52377"
447,Forsythe Avenue (east side of Mowat),"44.22659, -76.52056"
488,Mowat Avenue (north side of Johnson),"44.23053, -76.52089"
486,Johnson Street (east side of Roden),"44.23062, -76.52245"
481,219 Norman Rogers Drive (east side),"44.23373, -76.52276"
477,Casterton Avenue (east side of Norman Rogers),"44.23771, -76.52314"
498,Van Order Drive at L.C.V.I. (west side),"44.23764, -76.52029"
2059,Van Order Drive at L.C.V.I. (east side),"44.23772, -76.52017"
483,Silver Street (west side of Roden),"44.23198, -76.52275"
489,394 Yonge Street (west side),"44.23026, -76.51854"
445,310 Yonge Street (west side),"44.22738, -76.51827"
800,Francis Street (north side of Churchill),"44.22267, -76.52197"
696,Pembroke Street (south side of Union),"44.22438, -76.50996"
